#{"t_start": 1789049545.821065, "env_id": "None"}
r,l,t
-22.2,42,179.589191
29.5,80,179.713467
305.7,56,179.807605
312.2,57,179.897387
292.2,58,179.990308
297.2,64,180.093977
-92.1,58,180.184972
52.9,67,180.291134
320.2,67,180.404098
4.4,42,180.47187
57.1,60,180.567153
38.6,69,180.674921
-11.4,37,180.733917
-66.6,41,180.80275
-40.2,54,180.890087
80.8,74,183.160877
300.2,56,183.24859
32.5,40,183.311627
284.0,63,183.418494
60.5,70,183.529255
259.8,70,183.639451
261.0,94,183.785653
-101.0,48,183.861471
59.1,65,183.963417
322.2,65,184.072781
-64.4,49,184.151848
-65.4,57,184.241419
-14.1,49,184.319501
13.6,55,184.406705
273.5,86,184.541144
297.2,46,184.620155
321.0,69,184.728589
321.3,75,184.846343
-19.3,71,184.960646
319.2,70,185.074701
-73.0,53,185.16368
339.2,54,185.257836
-38.9,47,185.332977
-59.3,50,185.41189
335.7,66,185.515296
0.3,48,185.591357
258.8,85,185.724082
37.2,59,185.824104
26.2,58,185.916488
-9.5,53,186.009251
-10.9,55,186.103119
317.2,81,186.228336
297.7,91,186.374542
96.5,86,188.643507
13.6,36,188.700029
-20.3,50,188.788836
59.5,67,188.897265
-28.2,23,188.935148
60.8,54,189.020165
15.6,80,189.158047
6.5,67,189.262164
-50.1,55,189.347811
106.7,73,189.472692
321.2,50,189.552313
68.4,58,189.644964
299.2,49,189.759917
63.6,65,189.940432
35.6,52,190.084949
40.8,58,190.215561
-75.4,43,190.284894
36.5,65,190.391153
302.2,42,190.457566
-20.5,41,190.527056
-7.4,54,190.619257
-31.3,60,190.713953
329.0,91,190.857078
76.5,74,190.971855
-44.3,62,191.068784
8.7,52,191.153349
307.2,60,191.267815
-51.2,52,191.349038
23.9,42,191.416873
-4.4,45,191.491889
273.1,68,191.617192
-52.1,43,191.691037
3.6,70,191.806441
-34.3,37,191.865253
5.3,83,191.994717
-30.6,57,194.59929
-11.4,38,194.669266
282.2,53,194.777211
-21.4,26,194.830919
4.6,60,194.926841
308.8,63,195.026082
293.6,94,195.18154
63.0,56,195.272491
36.1,47,195.348092
-34.3,58,195.462953
71.7,69,195.571928
61.1,95,195.722056
292.2,61,195.817578
39.9,55,195.905517
306.2,61,196.017526
